hamilton,max_verstappen,bottas,norris,perez,leclerc,ricciardo,sainz,tsunoda,stroll,raikkonen,giovinazzi,ocon,russell,vettel,mick_schumacher,gasly,latifi,alonso,mazepin
4.0,2.0,6.0,,13.0,,18.0,12.0,,,5,,,,24.0,,,,13.0,
1.0,3.0,3.0,,7.0,,8.0,6.0,,,6,,,,2.0,,,,16.0,
4.0,3.0,1.0,,11.0,,2.0,20.0,,,7,,,,2.0,,,,2.0,
22.0,4.0,17.0,,9.0,,15.0,19.0,,,2,,,,11.0,,,,10.0,
4.0,4.0,4.0,,9.0,,15.0,14.0,,,20,,,,5.0,,,,3.0,
5.0,4.0,2.0,,19.0,,10.0,7.0,,,20,,,,1.0,,,,3.0,
5.0,3.0,2.0,,5.0,,5.0,8.0,,,1,,,,6.0,,,,16.0,
2.0,4.0,1.0,,6.0,,11.0,6.0,,,19,,,,4.0,,,,16.0,
7.0,5.0,2.0,,7.0,,6.0,11.0,,,3,,,,4.0,,,,4.0,
1.0,4.0,3.0,,12.0,,4.0,6.0,,,6,,,,21.0,,,,5.0,
22.0,1.0,5.0,,3.0,,4.0,8.0,,,2,,,,3.0,,,,4.0,
3.0,5.0,2.0,,5.0,,4.0,6.0,,,3,,,,5.0,,,,7.0,
3.0,1.0,3.0,,8.0,,11.0,5.0,,,1,,,,4.0,,,,3.0,
3.0,2.0,5.0,,12.0,,4.0,5.0,,,2,,,,2.0,,,,3.0,
8.0,20.0,4.0,,5.0,,2.0,19.0,,,2,,,,22.0,,,,6.0,
8.0,8.0,5.0,,13.0,,7.0,20.0,,,20,,,,1.0,,,,2.0,
5.0,3.0,2.0,,16.0,,7.0,12.0,,,2,,,,1.0,,,,16.0,
1.0,4.0,2.0,,11.0,,5.0,6.0,,,2,,,,1.0,,,,5.0,
19.0,18.0,1.0,,9.0,,4.0,5.0,,,6,,,,1.0,,,,4.0,
8.0,6.0,8.0,,7.0,,3.0,13.0,,,20,,,,3.0,,,,4.0,
24.0,3.0,2.0,,3.0,,2.0,8.0,,,4,,,,2.0,,,,18.0,
1.0,1.0,2.0,,10.0,,2.0,3.0,,,3,,,,6.0,,,,18.0,
23.0,2.0,14.0,,3.0,,5.0,10.0,,,19,,,,3.0,,,,4.0,
1.0,20.0,2.0,,17.0,,2.0,5.0,,,2,,,,1.0,,,,1.0,
24.0,3.0,5.0,,6.0,,1.0,9.0,,,4,,,,4.0,,,,8.0,
5.0,2.0,2.0,,11.0,,6.0,9.0,,,2,,,,1.0,,,,15.0,
10.0,2.0,7.0,,10.0,,3.0,13.0,,,2,,,,4.0,,,,18.0,
4.0,1.0,19.0,,5.0,,3.0,13.0,,,3,,,,2.0,,,,12.0,
21.0,2.0,4.0,,8.0,,8.0,6.0,,,18,,,,1.0,,,,13.0,
1.0,3.0,2.0,,8.0,,5.0,20.0,,,12,,,,21.0,,,,19.0,
20.0,17.0,5.0,,6.0,,17.0,2.0,,,14,,,,1.0,,,,22.0,
5.0,19.0,4.0,,7.0,,4.0,18.0,,,18,,,,3.0,,,,13.0,
3.0,2.0,3.0,,8.0,,5.0,19.0,,,20,,,,1.0,,,,15.0,
3.0,2.0,4.0,,10.0,,17.0,5.0,,,19,,,,1.0,,,,13.0,
5.0,3.0,2.0,,4.0,,3.0,6.0,,,4,,,,1.0,,,,19.0,
12.0,17.0,2.0,,8.0,,3.0,7.0,,,3,,,,1.0,,,,14.0,
4.0,6.0,5.0,,7.0,,3.0,5.0,,,14,,,,1.0,,,,17.0,
3.0,2.0,5.0,,9.0,,1.0,5.0,,,2,,,,1.0,,,,16.0,
4.0,19.0,5.0,,7.0,,3.0,4.0,,,11,,,,1.0,,,,10.0,
5.0,1.0,5.0,,6.0,,5.0,6.0,,,4,,,,1.0,,,,18.0,
1.0,2.0,1.0,,4.0,,20.0,8.0,,,16,,,,1.0,,,,22.0,
3.0,,2.0,,13.0,,3.0,,,,15,,,,18.0,,,,13.0,
9.0,,2.0,,5.0,,4.0,,,,17,,,,3.0,,,,21.0,
5.0,,1.0,,15.0,,2.0,,,,3,,,,6.0,,,,11.0,
5.0,,2.0,,24.0,,3.0,,,,6,,,,5.0,,,,5.0,
20.0,,3.0,,7.0,,3.0,,,,22,,,,4.0,,,,11.0,
6.0,,4.0,,9.0,,18.0,,,,12,,,,20.0,,,,9.0,
7.0,,2.0,,8.0,,20.0,,,,20,,,,3.0,,,,8.0,
4.0,,3.0,,17.0,,6.0,,,,8,,,,21.0,,,,5.0,
9.0,,2.0,,9.0,,20.0,,,,4,,,,5.0,,,,7.0,
19.0,,15.0,,5.0,,4.0,,,,10,,,,4.0,,,,10.0,
1.0,,8.0,,6.0,,20.0,,,,4,,,,7.0,,,,14.0,
1.0,,3.0,,7.0,,1.0,,,,10,,,,5.0,,,,7.0,
1.0,,2.0,,8.0,,17.0,,,,7,,,,6.0,,,,18.0,
1.0,,5.0,,7.0,,5.0,,,,5,,,,2.0,,,,6.0,
2.0,,2.0,,9.0,,1.0,,,,17,,,,3.0,,,,15.0,
17.0,,1.0,,7.0,,4.0,,,,7,,,,8.0,,,,5.0,
2.0,,3.0,,11.0,,4.0,,,,19,,,,7.0,,,,3.0,
1.0,,1.0,,16.0,,18.0,,,,7,,,,5.0,,,,10.0,
3.0,,1.0,,12.0,,5.0,,,,22,,,,8.0,,,,20.0,
3.0,,20.0,,3.0,,20.0,,,,21,,,,3.0,,,,14.0,
19.0,,4.0,,9.0,,4.0,,,,15,,,,1.0,,,,1.0,
1.0,,2.0,,12.0,,16.0,,,,14,,,,3.0,,,,4.0,
1.0,,3.0,,14.0,,17.0,,,,10,,,,5.0,,,,13.0,
1.0,,11.0,,18.0,,6.0,,,,6,,,,3.0,,,,4.0,
1.0,,3.0,,7.0,,6.0,,,,15,,,,2.0,,,,2.0,
1.0,,3.0,,10.0,,4.0,,,,3,,,,5.0,,,,6.0,
2.0,,2.0,,7.0,,16.0,,,,9,,,,4.0,,,,8.0,
1.0,,5.0,,14.0,,17.0,,,,8,,,,3.0,,,,3.0,
1.0,,2.0,,5.0,,4.0,,,,19,,,,1.0,,,,8.0,
2.0,,1.0,,7.0,,4.0,,,,2,,,,12.0,,,,14.0,
1.0,,19.0,,16.0,,19.0,,,,3,,,,2.0,,,,1.0,
1.0,,2.0,,10.0,,18.0,,,,1,,,,1.0,,,,2.0,
2.0,,2.0,,7.0,,7.0,,,,3,,,,3.0,,,,21.0,
3.0,,14.0,,8.0,,20.0,,,,10,,,,2.0,,,,1.0,
1.0,,8.0,,18.0,,12.0,,,,4,,,,3.0,,,,1.0,
2.0,,8.0,,10.0,,9.0,,,,6,,,,18.0,,,,3.0,
1.0,,2.0,,8.0,,6.0,,,,12,,,,3.0,,,,1.0,
6.0,,3.0,,13.0,,11.0,,,,7,,,,4.0,,,,3.0,
1.0,,,,10.0,,12.0,,,,5,,,,3.0,,,,7.0,
1.0,,,,8.0,,7.0,,,,14,,,,21.0,,,,4.0,
18.0,,,,6.0,,19.0,,,,2,,,,2.0,,,,6.0,
1.0,,,,15.0,,14.0,,,,3,,,,20.0,,,,7.0,
1.0,,,,12.0,,14.0,,,,9,,,,3.0,,,,3.0,
1.0,,,,12.0,,4.0,,,,8,,,,4.0,,,,5.0,
2.0,,,,12.0,,14.0,,,,2,,,,2.0,,,,2.0,
2.0,,,,11.0,,19.0,,,,5,,,,2.0,,,,22.0,
2.0,,,,17.0,,19.0,,,,3,,,,21.0,,,,2.0,
2.0,,,,20.0,,8.0,,,,2,,,,9.0,,,,1.0,
3.0,,,,11.0,,6.0,,,,3,,,,4.0,,,,2.0,
7.0,,,,6.0,,6.0,,,,5,,,,5.0,,,,3.0,
2.0,,,,7.0,,11.0,,,,6,,,,6.0,,,,4.0,
21.0,,,,19.0,,19.0,,,,6,,,,3.0,,,,3.0,
1.0,,,,7.0,,8.0,,,,5,,,,5.0,,,,4.0,
1.0,,,,8.0,,8.0,,,,7,,,,22.0,,,,2.0,
5.0,,,,7.0,,4.0,,,,1,,,,4.0,,,,5.0,
1.0,,,,10.0,,14.0,,,,6,,,,4.0,,,,3.0,
1.0,,,,9.0,,11.0,,,,10,,,,5.0,,,,2.0,
1.0,,,,7.0,,4.0,,,,1,,,,5.0,,,,4.0,
1.0,,,,6.0,,6.0,,,,7,,,,3.0,,,,5.0,
3.0,,,,6.0,,4.0,,,,2,,,,1.0,,,,1.0,
2.0,,,,7.0,,5.0,,,,2,,,,2.0,,,,9.0,
3.0,,,,5.0,,3.0,,,,2,,,,1.0,,,,7.0,
18.0,,,,10.0,,9.0,,,,10,,,,2.0,,,,2.0,
3.0,,,,10.0,,3.0,,,,9,,,,2.0,,,,3.0,
